word,frequency
the,16169
to,13673
a,9833
you,8280
and,7811
for,7769
of,7564
in,7220
on,6326
my,5648
is,5627
with,4387
this,3254
at,3092
your,3033
so,2742
love,2491
it,2484
from,2415
be,2400
are,2265
me,2141
that,2119
all,2023
out,1975
new,1898
have,1777
was,1676
our,1422
we,1404
about,1343
just,1241
see,1230
de,1225
by,1198
get,1190
like,1179
up,1176
u,1162
will,1147
an,1119
more,1073
can,1054
one,1049
what,978
do,976
show,949
as,943
but,909
now,900
time,885
thank,833
has,822
not,804
who,792
much,790
got,778
how,776
know,735
video,719
or,718
some,715
last,713
make,680
her,669
when,657
en,653
people,650
music,645
day,639
been,620
great,601
his,593
back,590
if,581
good,578
best,572
i,571
had,566
tonight,561
go,559
here,546
first,519
wait,509
right,506
us,503
than,500
no,492
happy,485
today,481
were,475
la,471
favorite,465
want,465
guys,461
they,456
ready,452
next,450
after,450
into,449
made,447
night,446
el,439
fun,437
watch,435
live,430
think,430
these,427
am,422
birthday,418
excited,418
song,412
win,410
over,407
he,406
world,400
going,395
photo,394
never,392
really,391
their,387
too,386
off,383
everyone,382
every,381
coming,380
little,378
need,376
way,371
take,368
always,367
say,367
being,366
look,366
most,366
amazing,362
could,349
game,348
hope,345
play,342
would,341
still,341
gonna,338
only,336
them,336
album,334
help,334
did,328
big,328
ever,327
very,323
miss,323
thanks,314
come,312
support,308
y,306
work,303
should,302
beautiful,299
many,293
there,283
something,282
life,272
fans,270
year,267
better,265
making,264
feel,262
special,262
before,262
proud,261
friend,260
she,259
sure,256
years,251
because,250
even,250
days,250
posted,245
hear,242
que,238
getting,238
tomorrow,236
down,235
believe,233
friends,231
why,231
keep,229
around,228
give,227
share,225
million,225
con,225
part,224
two,220
team,219
watching,219
week,216
says,214
through,212
family,210
tell,210
makes,210
girl,207
por,207
real,204
doing,204
hashtag,204
baby,201
where,201
another,201
against,200
having,200
playing,197
such,194
story,193
change,192
those,189
performance,189
came,188
thing,188
para,187
name,185
other,184
things,184
also,184
during,184
vote,184
del,183
its,182
killed,181
available,181
any,181
until,180
meet,179
soon,179
put,179
follow,178
then,178
few,177
working,177
ya,177
lot,176
los,175
found,175
again,174
him,174
police,173
heart,173
official,172
long,172
incredible,172
let,172
climate,168
may,166
stop,166
home,165
starts,164
celebrate,163
talk,163
find,163
wanna,161
photos,161
health,161
hard,160
call,160
check,160
whole,158
said,158
own,158
important,156
since,154
sweet,153
least,151
single,151
un,150
full,149
shot,147
tag,146
moment,146
chance,146
man,146
fight,145
already,144
while,143
forget,142
tour,141
ur,140
taking,139
news,139
loved,138
set,136
face,136
w,135
together,135
party,134
lol,134
perform,134
cover,134
videos,134
without,133
done,133
saw,132
kids,132
someone,132
wish,132
free,132
top,131
start,131
morning,131
behind,130
please,129
stage,129
shows,129
seeing,128
thought,127
se,127
seen,127
told,127
looks,126
gets,126
sing,126
finally,126
everything,126
x,126
send,125
does,124
tweet,123
care,122
left,122
trip,120
app,120
almost,120
hours,119
same,119
missed,118
women,118
looking,117
glad,117
officials,117
premiere,116
episode,116
school,116
went,116
job,116
pretty,115
try,115
country,115
away,114
season,114
su,114
might,113
wanted,111
questions,111
kind,111
each,110
fan,109
took,109
funny,109
second,109
honor,108
hit,108
early,108
nice,108
using,107
streaming,107
comes,107
shoot,107
means,107
use,107
end,107
giving,106
bring,106
called,105
surprise,105
needs,105
songs,105
cool,104
both,104
latest,104
final,104
dance,103
heard,103
economy,103
wonderful,102
las,102
stand,102
singing,102
talking,102
record,102
join,100
speaking,100
mom,99
goes,99
exclusive,99
place,99
shooting,98
stay,98
true,97
which,97
collection,97
sent,97
feeling,97
girls,97
perfect,96
moments,96
sale,96
weekend,94
performing,94
person,93
stream,92
holiday,92
must,92
gave,91
movie,91
grateful,91
luck,91
mi,90
art,90
won,90
played,89
tickets,89
times,88
cute,88
post,88
fair,88
es,87
mean,87
added,87
stops,87
babes,87
remember,86
action,86
read,86
helping,86
awesome,86
wear,85
hi,85
forward,85
interview,85
leaders,85
boys,85
open,84
hair,84
submissions,84
woman,84
loves,84
happened,84
met,84
biggest,84
pics,83
anyone,83
well,83
truly,83
old,83
nuevo,83
pic,83
trying,83
light,82
actually,82
room,82
nothing,82
between,81
wants,81
across,81
guy,81
signed,81
scenes,80
red,80
plus,80
via,80
bad,80
weekly,80
xo,80
children,79
used,79
head,78
able,78
dream,78
lucky,78
una,77
enjoy,77
embarrassing,77
crowd,77
past,77
close,77
words,77
takes,77
high,76
supporting,76
loving,76
yes,76
gift,75
todos,75
leave,75
young,75
phone,75
summer,73
car,73
voice,73
fighting,73
water,73
case,73
yours,73
months,73
starting,72
under,72
launch,72
listen,72
energy,72
o,72
pop,71
eat,71
future,71
power,71
studio,71
congrats,70
este,70
inspired,70
far,70
rest,70
talented,70
tweets,70
honored,70
jobs,70
state,70
babies,69
number,69
tune,69
ago,69
experience,69
anything,69
cause,68
hearing,68
attack,68
celebrating,68
hot,67
yourself,67
sharing,67
happens,67
road,67
catch,67
progress,67
match,67
enough,67
n,67
artist,67
eyes,67
less,66
ask,66
happening,66
crazy,66
speak,66
lil,65
message,65
dad,64
run,64
different,64
once,64
event,64
football,64
performs,64
three,64
saying,64
started,63
huge,63
tix,63
guess,63
died,63
fire,63
bringing,63
fav,63
till,63
brought,62
waiting,62
campaign,62
line,62
buy,62
global,62
training,62
nominated,62
men,62
gotta,62
boy,61
listening,61
da,61
lost,61
book,61
welcome,61
brand,61
turn,61
version,61
meeting,61
hold,60
gun,60
idea,60
feels,60
sleep,59
film,59
hour,59
late,59
til,59
hate,59
cat,59
dress,59
mind,59
sending,59
sorry,59
minutes,59
learn,59
body,59
round,58
ones,58
plan,58
literally,58
hello,58
wearing,58
shit,58
brother,58
near,58
views,58
else,58
selfie,57
media,57
voting,57
greatest,57
ft,57
lo,57
step,57
fragrance,57
release,56
visit,56
officially,56
helped,56
wins,56
super,56
knows,56
five,56
track,56
history,56
stories,56
omg,56
gracias,55
esta,55
yet,55
weird,55
cast,55
followed,54
peek,54
myself,54
showed,54
beauty,54
winning,54
announce,54
front,54
thoughts,54
community,54
gold,54
presidential,54
month,54
definitely,54
killing,54
along,54
picture,53
side,53
yesterday,53
bit,53
others,53
deserves,53
vs,53
sneak,53
word,53
food,53
dead,53
opening,53
city,53
concert,53
lots,53
house,52
save,52
wrote,52
living,52
break,52
human,52
death,52
group,52
families,52
dog,52
cut,51
update,51
ride,51
matter,51
sus,51
sick,51
dreams,51
watched,51
outside,51
asked,51
sound,51
worth,51
chat,51
access,51
lives,50
according,50
winner,50
deserve,50
course,50
forever,50
sign,50
continue,50
fashion,50
bday,50
hoy,50
local,50
knew,50
list,50
millions,50
entire,49
fall,49
plane,49
national,49
eating,49
personal,49
protect,49
award,49
games,49
bro,49
commercial,49
hang,48
lovely,48
become,48
dancing,48
cannot,48
later,48
add,48
inside,48
ha,48
easy,47
fave,47
missing,47
turned,47
writing,47
bout,47
couple,47
safe,47
appreciate,47
education,47
tweeting,47
thankful,47
write,47
al,47
oh,47
fucking,46
grow,46
felt,46
tried,46
spend,46
created,46
wrong,46
half,46
sounds,46
millones,46
photographer,46
victims,45
gives,45
enter,45
pueden,45
straight,45
son,45
v,45
damn,45
released,45
extra,45
adorable,45
online,45
reading,45
train,45
audience,44
pick,44
tuned,44
air,44
spot,44
pierdan,44
looked,44
absolutely,44
black,44
weeks,44
enjoying,44
radio,43
backstage,43
e,43
bb,43
exciting,43
wow,43
deal,43
nueva,43
showing,43
totally,43
prayers,42
returns,42
band,42
ice,42
probably,42
pass,42
sang,42
bed,42
cry,42
coverage,42
ways,42
inspiring,42
download,42
election,42
star,42
hits,42
playlist,41
hand,41
reason,41
including,41
following,41
strong,41
rehearsal,41
thinking,41
edition,41
spirit,41
pay,41
anniversary,40
stars,40
maybe,40
adore,40
wake,40
xoxo,40
fast,40
powerful,40
rate,40
trailer,40
town,40
em,40
calling,40
answer,40
calls,40
finished,40
suspect,40
beyond,40
running,39
tells,39
sad,39
agree,39
nomination,39
rolling,39
drop,39
buddy,39
changing,39
secret,39
double,39
dressing,39
economic,39
rock,39
hands,39
conversation,39
move,39
discusses,39
child,39
kick,39
guest,39
question,38
build,38
immigration,38
copy,38
happen,38
works,38
four,38
security,38
mobile,38
peace,38
ahead,38
beach,38
date,38
ok,38
issue,38
debut,37
clean,37
featuring,37
dates,37
focus,37
spread,37
trending,37
learned,37
hanging,37
remix,37
keeping,37
raise,37
military,37
search,37
account,37
stuff,37
session,37
stores,37
warm,37
han,37
kill,36
create,36
piece,36
view,36
hotel,36
ver,36
store,36
sister,36
major,36
college,36
changed,36
smile,36
como,36
nation,36
finale,36
contest,36
sobre,36
letting,36
office,36
needed,36
tho,36
possible,36
carpet,36
level,36
minimum,36
internet,35
launching,35
donate,35
public,35
joining,35
issues,35
host,35
lyric,35
cold,35
crew,35
accounts,35
muy,35
kid,35
taken,35
voted,35
reach,35
enjoyed,35
growing,35
mine,35
brilliant,35
ass,35
walk,35
te,34
result,34
makeup,34
lose,34
six,34
key,34
eye,34
asking,34
drink,34
text,34
steps,34
race,34
private,34
promise,34
workers,34
nos,34
scene,34
standing,34
speech,34
hosting,34
inspire,34
yeah,34
profile,34
wit,34
premieres,34
babe,34
magical,34
dinner,34
les,34
paid,33
phuck,33
bitch,33
receive,33
longer,33
tu,33
rehearsals,33
blue,33
beat,33
link,33
faces,33
report,33
funniest,33
die,33
named,33
billion,33
worked,33
sold,33
born,33
class,33
leads,33
injured,33
electoral,33
per,33
tiny,33
inspiration,33
members,33
obsessed,33
bought,33
memories,33
ends,33
charity,33
ladies,32
violence,32
updates,32
officer,32
truck,32
gifts,32
federal,32
ticket,32
leg,32
white,32
kicks,32
shout,32
small,32
caught,32
meant,32
musical,32
closer,32
tracks,32
shared,32
gone,32
cutest,32
childhood,32
wishes,32
putting,32
creative,32
easier,32
worry,32
voices,32
laugh,32
plans,32
blog,32
supporters,32
officers,32
onto,31
middle,31
breaking,31
talks,31
awww,31
pair,31
social,31
shoes,31
opportunity,31
though,31
fly,31
nearly,31
stopping,31
nights,31
known,31
present,31
ball,31
epic,31
former,31
